"id","created_time","type","availability","quality_percent","made","defected","proiz_vobez_raboti","planned","all_stopped_time","all_working_time","stop_not_planned","stop_planned","all_time"
127,"2020-08-12","SAW1","1.24","0",114,120,0,10487,"1422.13",17,1422,0,1440
128,"2020-08-12","SAW2","99.25","99.04",6252,60,0,35731,"10.77",1429,10,0,1440
129,"2020-08-12","SAW3","100","98.23",1698,30,0,24000,"0",1440,0,0,1440
130,"2020-08-13","SAW1","1.32","100",1133,0,0,11162,"1420.98",19,1420,0,1440
131,"2020-08-13","SAW2","61.11","99.04",8088,78,0,35863,"560.03",879,560,0,1440
132,"2020-08-13","SAW3","90.09","100",1700,0,0,21621,"142.73",1297,142,0,1440
133,"2020-08-14","SAW1","0.45","100",350,0,0,3776,"1433.57",6,1433,0,1440
134,"2020-08-14","SAW2","72.91","100",12502,0,0,24692,"443.75",996,370,73,1440
135,"2020-08-14","SAW3","100","100",2014,0,0,24000,"0",1440,0,0,1440
136,"2020-08-15","SAW1","0.45","100",114,0,0,3776,"1433.57",6,1433,0,1440
137,"2020-08-15","SAW2","80.16","99.25",3352,25,0,17133,"437.47",1002,248,189,1440
138,"2020-08-15","SAW3","100","0",0,0,0,24000,"0",1440,0,0,1440
139,"2020-08-16","SAW1","0.01","0",0,24,0,21,"1439.92",0,1439,0,1440
140,"2020-08-16","SAW2","91.85","94.76",15345,804,0,30867,"146.68",1293,114,31,1440
141,"2020-08-16","SAW3","100","98.58",1482,21,0,24000,"0",1440,0,0,1440
142,"2020-08-17","SAW1","0.01","39.67",300,181,0,21,"1439.92",0,1439,0,1440
143,"2020-08-17","SAW2","92.86","97.33",10730,287,0,16419,"102.88",1337,102,0,1440
144,"2020-08-17","SAW3","100","97.66",1283,30,0,24000,"0",1440,0,0,1440
145,"2020-08-18","SAW1","0","0",0,68,0,0,"1440",0,1440,0,1440
146,"2020-08-18","SAW2","61.49","89.78",5331,545,0,4816,"554.5",885,554,0,1440
147,"2020-08-18","SAW3","100","88.6",649,74,0,24000,"0",1440,0,0,1440
148,"2020-08-19","SAW1","0.01","75",360,90,0,21,"1439.92",0,1439,0,1440
149,"2020-08-19","SAW2","97.14","97.8",3497,77,0,34969,"41.25",1398,41,0,1440
150,"2020-08-19","SAW3","100","0",0,0,0,24000,"0",1440,0,0,1440
151,"2020-08-20","SAW1","0.01","0",0,0,0,21,"1439.92",0,664,775,1440
152,"2020-08-20","SAW2","98.83","100",8856,0,0,35579,"16.83",1423,16,0,1440
153,"2020-08-20","SAW3","99.97","100",5,0,0,23993,"0.42",1439,0,0,1440
154,"2020-08-21","SAW1","0.8","58.33",36,15,0,2450,"1430.2",9,1217,212,1440
155,"2020-08-21","SAW2","75.48","98.53",10014,147,0,27173,"353.08",1086,353,0,1440
156,"2020-08-21","SAW3","27.97","0",0,8,0,1342,"1037.27",402,1037,0,1440
157,"2020-08-22","SAW1","0.67","0",75,164,0,86,"1430.42",9,1430,0,1440
158,"2020-08-22","SAW2","99.99","99",8564,86,0,35046,"0.2",1439,0,0,1440
159,"2020-08-22","SAW3","97.11","0",20,36,0,4855,"41.62",1398,41,0,1440
160,"2020-08-23","SAW1","0.07","0",0,40,0,37,"1438.97",1,1438,0,1440
161,"2020-08-23","SAW2","99.66","98.89",8000,89,0,34442,"4.92",1435,4,0,1440
162,"2020-08-23","SAW3","99.9","98.8",1338,16,0,10193,"1.48",1438,1,0,1440
163,"2020-08-24","SAW1","0.18","0",0,98,0,93,"1437.42",2,1437,0,1440
164,"2020-08-24","SAW2","93.75","96.4",6856,247,0,32400,"89.98",1350,89,0,1440
165,"2020-08-24","SAW3","100","97.25",1343,37,0,4973,"784.87",655,0,784,1440
166,"2020-08-25","SAW1","25.59","97.1",3960,115,86,13265,"1071.53",368,1071,0,1440
167,"2020-08-25","SAW2","92.59","95.82",11310,473,0,29204,"106.7",1333,106,0,1440
168,"2020-08-25","SAW3","100","100",464,0,0,31221,"59.7",1380,0,59,1440
169,"2020-08-26","SAW1","22.21","95.64",3672,160,126,10793,"1120.22",319,1120,0,1440
170,"2020-08-26","SAW2","95.78","99.09",7706,70,0,19353,"60.8",1379,60,0,1440
171,"2020-08-26","SAW3","100","100",2450,0,0,32571,"0",1440,0,0,1440
172,"2020-08-27","SAW1","43.17","100",1561,25,4,290559,"818.33",621,818,0,1439
173,"2020-08-27","SAW2","94.44","89.06",2112,231,0,10850,"79.8",1356,79,0,1436
174,"2020-08-27","SAW3","99.32","94.52",2648,145,0,9535,"9.75",1430,9,0,1440
175,"2020-08-28","SAW1","58.97","97.52",9582,238,22,9273,"590.87",849,590,0,1440
176,"2020-08-28","SAW2","75.4","98.76",14557,180,0,26848,"354.27",1085,354,0,1440
177,"2020-08-28","SAW3","93.29","96.85",2891,91,0,29987,"99.12",1340,96,2,1440
178,"2020-08-29","SAW1","19.9","97.76",4427,99,0,26901,"1153.47",286,1153,0,1440
179,"2020-08-29","SAW2","91.23","98.01",5016,100,0,13483,"334.67",1105,106,228,1440
